-14427004.7782898489	  inf
-12757516.1848693378	1.15720e-01
-12617845.5078867506	1.09481e-02
-12471927.8841510434	1.15644e-02
-12384626.8701748513	6.99980e-03
-12328349.6239922736	4.54412e-03
-12290994.6983723845	3.03000e-03
-12264542.1103268806	2.15219e-03
-12244714.0145330783	1.61670e-03
-12229814.8296812233	1.21679e-03
-12218529.5355843082	9.22769e-04
-12209535.8279322963	7.36071e-04
-12202694.0570567865	5.60363e-04
-12197897.7782398444	3.93051e-04
-12194534.0114448741	2.75766e-04
-12192072.7029392812	2.01837e-04
-12189971.4326244928	1.72347e-04
-12188350.3986919336	1.32981e-04
-12187102.3908564523	1.02393e-04
-12186112.9442250878	8.11880e-05
